[23.01.2025 4:45:25] Протоколирование начато.
[23.01.2025 4:45:25] Создание новой базы данных
[23.01.2025 4:45:26] Загрузка данных из файла Excel.
[23.01.2025 4:45:26] Загружено животных: id 1, species Попугай, breed Ара
[23.01.2025 4:45:26] Загружено животных: id 39, species Собака, breed Лабрадор
[23.01.2025 4:45:26] Загружено животных: id 40, species Собака, breed Шпиц
[23.01.2025 4:45:26] Загружено животных: id 41, species Черепаха, breed Боксерская
[23.01.2025 4:45:26] Загружено животных: id 42, species Кролик, breed Ангорский
[23.01.2025 4:45:26] Загружено животных: id 43, species Собака, breed Бульдог
[23.01.2025 4:45:26] Загружено животных: id 44, species Хомяк, breed Сирийский
[23.01.2025 4:45:26] Загружено животных: id 45, species Рыбка, breed Сомик
[23.01.2025 4:45:26] Загружено животных: id 46, species Собака, breed Бульдог
[23.01.2025 4:45:26] Загружено животных: id 47, species Рыбка, breed Золотая рыбка
[23.01.2025 4:45:26] Загружено животных: id 48, species Кошка, breed Сиамская
[23.01.2025 4:45:26] Загружено животных: id 49, species Кошка, breed Британская
[23.01.2025 4:45:26] Загружено животных: id 50, species Рыбка, breed Неон
[23.01.2025 4:45:26] Загружено животных: id 51, species Попугай, breed Ара
[23.01.2025 4:45:26] Загружено животных: id 52, species Хомяк, breed Сирийский
[23.01.2025 4:45:26] Загружено животных: id 53, species Кролик, breed Гималайский
[23.01.2025 4:45:26] Загружено животных: id 54, species Хомяк, breed Сирийский
[23.01.2025 4:45:26] Загружено животных: id 55, species Собака, breed Шпиц
[23.01.2025 4:45:26] Загружено животных: id 56, species Кролик, breed Шиншилла
[23.01.2025 4:45:26] Загружено животных: id 57, species Кролик, breed Гималайский
[23.01.2025 4:45:26] Загружено животных: id 58, species Кролик, breed Гималайский
[23.01.2025 4:45:26] Загружено животных: id 59, species Хомяк, breed Роборовского
[23.01.2025 4:45:26] Загружено животных: id 60, species Попугай, breed Ара
[23.01.2025 4:45:26] Загружено животных: id 61, species Кролик, breed Львиный
[23.01.2025 4:45:26] Загружено животных: id 62, species Рыбка, breed Золотая рыбка
[23.01.2025 4:45:26] Загружено животных: id 63, species Собака, breed Лабрадор
[23.01.2025 4:45:26] Загружено животных: id 64, species Кролик, breed Шиншилла
[23.01.2025 4:45:26] Загружено животных: id 65, species Кролик, breed Львиный
[23.01.2025 4:45:26] Загружено животных: id 66, species Попугай, breed Корелла
[23.01.2025 4:45:26] Загружено животных: id 67, species Хомяк, breed Джунгарский
[23.01.2025 4:45:26] Загружено животных: id 68, species Хомяк, breed Роборовского
[23.01.2025 4:45:26] Загружено животных: id 69, species Хомяк, breed Сирийский
[23.01.2025 4:45:26] Загружено животных: id 70, species Попугай, breed Амазон
[23.01.2025 4:45:26] Загружено животных: id 71, species Кошка, breed Сиамская
[23.01.2025 4:45:26] Загружено животных: id 72, species Кошка, breed Сфинкс
[23.01.2025 4:45:26] Загружено животных: id 73, species Черепаха, breed Морская
[23.01.2025 4:45:26] Загружено животных: id 74, species Кролик, breed Ангорский
[23.01.2025 4:45:26] Загружено животных: id 75, species Хомяк, breed Сирийский
[23.01.2025 4:45:26] Загружено животных: id 76, species Собака, breed Лабрадор
[23.01.2025 4:45:26] Загружено животных: id 77, species Попугай, breed Ара
[23.01.2025 4:45:26] Загружено животных: id 78, species Попугай, breed Жако
[23.01.2025 4:45:26] Загружено животных: id 79, species Черепаха, breed Морская
[23.01.2025 4:45:26] Загружено животных: id 80, species Попугай, breed Корелла
[23.01.2025 4:45:26] Загружено животных: id 81, species Хомяк, breed Роборовского
[23.01.2025 4:45:26] Загружено животных: id 82, species Рыбка, breed Неон
[23.01.2025 4:45:26] Загружено животных: id 83, species Попугай, breed Амазон
[23.01.2025 4:45:26] Загружено животных: id 84, species Рыбка, breed Сомик
[23.01.2025 4:45:26] Загружено животных: id 85, species Кошка, breed Сфинкс
[23.01.2025 4:45:26] Загружено животных: id 86, species Рыбка, breed Неон
[23.01.2025 4:45:26] Загружено животных: id 87, species Хомяк, breed Сирийский
[23.01.2025 4:45:26] Загружено животных: id 88, species Рыбка, breed Сомик
[23.01.2025 4:45:26] Загружено животных: id 89, species Кролик, breed Львиный
[23.01.2025 4:45:26] Загружено животных: id 90, species Черепаха, breed Красноухая
[23.01.2025 4:45:26] Загружено животных: id 91, species Кролик, breed Ангорский
[23.01.2025 4:45:26] Загружено животных: id 92, species Хомяк, breed Роборовского
[23.01.2025 4:45:26] Загружено животных: id 93, species Черепаха, breed Боксерская
[23.01.2025 4:45:26] Загружено животных: id 94, species Черепаха, breed Красноухая
[23.01.2025 4:45:26] Загружено животных: id 95, species Попугай, breed Амазон
[23.01.2025 4:45:26] Загружено животных: id 96, species Собака, breed Лабрадор
[23.01.2025 4:45:26] Загружено животных: id 97, species Кошка, breed Сфинкс
[23.01.2025 4:45:26] Загружено животных: id 98, species Черепаха, breed Боксерская
[23.01.2025 4:45:26] Загружено животных: id 99, species Собака, breed Шпиц
[23.01.2025 4:45:26] Загружено животных: id 100, species Черепаха, breed Боксерская
[23.01.2025 4:45:26] Загружено животных: id 101, species Кролик, breed Ангорский
[23.01.2025 4:45:26] Загружено животных: id 102, species Хомяк, breed Сирийский
[23.01.2025 4:45:26] Загружено животных: id 103, species Хомяк, breed Сирийский
[23.01.2025 4:45:26] Загружено животных: id 104, species Собака, breed Далматин
[23.01.2025 4:45:26] Загружено животных: id 105, species Хомяк, breed Сирийский
[23.01.2025 4:45:26] Загружено животных: id 106, species Черепаха, breed Боксерская
[23.01.2025 4:45:26] Загружено животных: id 107, species Черепаха, breed Боксерская
[23.01.2025 4:45:26] Загружено животных: id 108, species Хомяк, breed Роборовского
[23.01.2025 4:45:26] Загружено животных: id 109, species Кролик, breed Ангорский
[23.01.2025 4:45:26] Загружено животных: id 110, species Черепаха, breed Боксерская
[23.01.2025 4:45:26] Загружено животных: id 111, species Рыбка, breed Гуппи
[23.01.2025 4:45:26] Загружено животных: id 112, species Хомяк, breed Сирийский
[23.01.2025 4:45:26] Загружено животных: id 113, species Хомяк, breed Джунгарский
[23.01.2025 4:45:26] Загружено животных: id 114, species Кошка, breed Мейн-кун
[23.01.2025 4:45:26] Загружено животных: id 115, species Кролик, breed Ангорский
[23.01.2025 4:45:26] Загружено животных: id 116, species Кролик, breed Львиный
[23.01.2025 4:45:26] Загружено животных: id 117, species Попугай, breed Корелла
[23.01.2025 4:45:26] Загружено животных: id 118, species Кошка, breed Британская
[23.01.2025 4:45:26] Загружено животных: id 119, species Черепаха, breed Морская
[23.01.2025 4:45:26] Загружено животных: id 120, species Хомяк, breed Роборовского
[23.01.2025 4:45:26] Загружено животных: id 121, species Попугай, breed Корелла
[23.01.2025 4:45:26] Загружено животных: id 122, species Попугай, breed Корелла
[23.01.2025 4:45:26] Загружено животных: id 123, species Черепаха, breed Боксерская
[23.01.2025 4:45:26] Загружено животных: id 124, species Черепаха, breed Морская
[23.01.2025 4:45:26] Загружено животных: id 125, species Кролик, breed Львиный
[23.01.2025 4:45:26] Загружено животных: id 126, species Попугай, breed Ара
[23.01.2025 4:45:26] Загружено животных: id 127, species Хомяк, breed Сирийский
[23.01.2025 4:45:26] Загружено животных: id 128, species Рыбка, breed Гуппи
[23.01.2025 4:45:26] Загружено животных: id 129, species Черепаха, breed Боксерская
[23.01.2025 4:45:26] Загружено животных: id 130, species Собака, breed Шпиц
[23.01.2025 4:45:26] Загружено животных: id 131, species Хомяк, breed Джунгарский
[23.01.2025 4:45:26] Загружено животных: id 132, species Хомяк, breed Сирийский
[23.01.2025 4:45:26] Загружено животных: id 133, species Хомяк, breed Джунгарский
[23.01.2025 4:45:26] Загружено животных: id 134, species Попугай, breed Амазон
[23.01.2025 4:45:26] Загружено животных: id 135, species Хомяк, breed Сирийский
[23.01.2025 4:45:26] Загружено животных: id 136, species Кролик, breed Львиный
[23.01.2025 4:45:26] Загружено животных: id 137, species Попугай, breed Жако
[23.01.2025 4:45:26] Загружено животных: id 138, species Рыбка, breed Золотая рыбка
[23.01.2025 4:45:26] Загружено животных: id 139, species Хомяк, breed Роборовского
[23.01.2025 4:45:26] Загружено животных: id 140, species Рыбка, breed Гуппи
[23.01.2025 4:45:26] Загружено животных: id 141, species Попугай, breed Амазон
[23.01.2025 4:45:26] Загружено животных: id 142, species Собака, breed Шпиц
[23.01.2025 4:45:26] Загружено животных: id 143, species Собака, breed Бульдог
[23.01.2025 4:45:26] Загружено животных: id 144, species Хомяк, breed Джунгарский
[23.01.2025 4:45:26] Загружено животных: id 145, species Кошка, breed Мейн-кун
[23.01.2025 4:45:26] Загружено животных: id 146, species Попугай, breed Ара
[23.01.2025 4:45:26] Загружено животных: id 147, species Черепаха, breed Боксерская
[23.01.2025 4:45:26] Загружено животных: id 148, species Черепаха, breed Красноухая
[23.01.2025 4:45:26] Загружено животных: id 149, species Рыбка, breed Неон
[23.01.2025 4:45:26] Загружено животных: id 150, species Хомяк, breed Сирийский
[23.01.2025 4:45:26] Загружено животных: id 151, species Собака, breed Бульдог
[23.01.2025 4:45:26] Загружено животных: id 152, species Попугай, breed Жако
[23.01.2025 4:45:26] Загружено животных: id 153, species Кошка, breed Мейн-кун
[23.01.2025 4:45:26] Загружено животных: id 154, species Черепаха, breed Красноухая
[23.01.2025 4:45:26] Загружено животных: id 155, species Хомяк, breed Роборовского
[23.01.2025 4:45:26] Загружено животных: id 156, species Собака, breed Бульдог
[23.01.2025 4:45:26] Загружено животных: id 157, species Кошка, breed Мейн-кун
[23.01.2025 4:45:26] Загружено животных: id 158, species Кошка, breed Сфинкс
[23.01.2025 4:45:26] Загружено животных: id 159, species Собака, breed Бульдог
[23.01.2025 4:45:26] Загружено животных: id 160, species Черепаха, breed Морская
[23.01.2025 4:45:26] Загружено животных: id 161, species Собака, breed Бульдог
[23.01.2025 4:45:26] Загружено животных: id 162, species Собака, breed Лабрадор
[23.01.2025 4:45:26] Загружено животных: id 163, species Кролик, breed Гималайский
[23.01.2025 4:45:26] Загружено животных: id 164, species Рыбка, breed Неон
[23.01.2025 4:45:26] Загружено животных: id 165, species Попугай, breed Амазон
[23.01.2025 4:45:26] Загружено животных: id 166, species Кролик, breed Шиншилла
[23.01.2025 4:45:26] Загружено животных: id 167, species Черепаха, breed Красноухая
[23.01.2025 4:45:26] Загружено животных: id 168, species Собака, breed Бульдог
[23.01.2025 4:45:26] Загружено животных: id 169, species Кошка, breed Британская
[23.01.2025 4:45:26] Загружено животных: id 170, species Хомяк, breed Роборовского
[23.01.2025 4:45:26] Загружено животных: id 171, species Попугай, breed Корелла
[23.01.2025 4:45:26] Загружено животных: id 172, species Кошка, breed Сиамская
[23.01.2025 4:45:26] Загружено животных: id 173, species Хомяк, breed Сирийский
[23.01.2025 4:45:26] Загружено животных: id 174, species Черепаха, breed Морская
[23.01.2025 4:45:26] Загружено животных: id 175, species Кролик, breed Шиншилла
[23.01.2025 4:45:26] Загружено животных: id 176, species Рыбка, breed Сомик
[23.01.2025 4:45:26] Загружено животных: id 177, species Собака, breed Бульдог
[23.01.2025 4:45:26] Загружено животных: id 178, species Хомяк, breed Роборовского
[23.01.2025 4:45:26] Загружено животных: id 179, species Собака, breed Лабрадор
[23.01.2025 4:45:26] Загружено животных: id 180, species Хомяк, breed Роборовского
[23.01.2025 4:45:26] Загружено животных: id 181, species Хомяк, breed Сирийский
[23.01.2025 4:45:26] Загружено животных: id 182, species Хомяк, breed Джунгарский
[23.01.2025 4:45:26] Загружено животных: id 183, species Собака, breed Бульдог
[23.01.2025 4:45:26] Загружено животных: id 184, species Кролик, breed Гималайский
[23.01.2025 4:45:26] Загружено животных: id 185, species Рыбка, breed Золотая рыбка
[23.01.2025 4:45:26] Загружено животных: id 186, species Собака, breed Далматин
[23.01.2025 4:45:26] Загружено животных: id 187, species Попугай, breed Ара
[23.01.2025 4:45:26] Загружено животных: id 188, species Попугай, breed Ара
[23.01.2025 4:45:26] Загружено животных: id 189, species Черепаха, breed Красноухая
[23.01.2025 4:45:26] Загружено животных: id 190, species Рыбка, breed Золотая рыбка
[23.01.2025 4:45:26] Загружено животных: id 191, species Собака, breed Бульдог
[23.01.2025 4:45:26] Загружено животных: id 192, species Собака, breed Лабрадор
[23.01.2025 4:45:26] Загружено животных: id 193, species Собака, breed Далматин
[23.01.2025 4:45:26] Загружено животных: id 194, species Черепаха, breed Красноухая
[23.01.2025 4:45:26] Загружено животных: id 195, species Кошка, breed Мейн-кун
[23.01.2025 4:45:26] Загружено животных: id 196, species Черепаха, breed Морская
[23.01.2025 4:45:26] Загружено животных: id 197, species Рыбка, breed Золотая рыбка
[23.01.2025 4:45:26] Загружено животных: id 198, species Попугай, breed Амазон
[23.01.2025 4:45:26] Загружено животных: id 199, species Попугай, breed Амазон
[23.01.2025 4:45:26] Загружено животных: id 200, species Кролик, breed Ангорский
[23.01.2025 4:45:26] Загружено животных: id 201, species Кошка, breed Сиамская
[23.01.2025 4:45:26] Загружено животных: id 202, species Кролик, breed Шиншилла
[23.01.2025 4:45:26] Загружено животных: id 203, species Попугай, breed Ара
[23.01.2025 4:45:26] Загружено животных: id 204, species Хомяк, breed Сирийский
[23.01.2025 4:45:26] Загружено животных: id 205, species Черепаха, breed Морская
[23.01.2025 4:45:26] Загружено животных: id 206, species Собака, breed Далматин
[23.01.2025 4:45:26] Загружено животных: id 207, species Черепаха, breed Боксерская
[23.01.2025 4:45:26] Загружено животных: id 208, species Кошка, breed Мейн-кун
[23.01.2025 4:45:26] Загружено животных: id 209, species Попугай, breed Амазон
[23.01.2025 4:45:26] Загружено животных: id 210, species Кошка, breed Британская
[23.01.2025 4:45:26] Загружено животных: id 211, species Черепаха, breed Морская
[23.01.2025 4:45:26] Загружено животных: id 212, species Хомяк, breed Сирийский
[23.01.2025 4:45:26] Загружено животных: id 213, species Черепаха, breed Морская
[23.01.2025 4:45:26] Загружено животных: id 214, species Кролик, breed Ангорский
[23.01.2025 4:45:26] Загружено животных: id 215, species Кролик, breed Гималайский
[23.01.2025 4:45:26] Загружено животных: id 216, species Кролик, breed Ангорский
[23.01.2025 4:45:26] Загружено животных: id 217, species Хомяк, breed Сирийский
[23.01.2025 4:45:26] Загружено животных: id 218, species Собака, breed Бульдог
[23.01.2025 4:45:26] Загружено животных: id 219, species Попугай, breed Корелла
[23.01.2025 4:45:26] Загружено животных: id 220, species Кошка, breed Мейн-кун
[23.01.2025 4:45:26] Загружено животных: id 221, species Рыбка, breed Неон
[23.01.2025 4:45:26] Загружено животных: id 222, species Собака, breed Далматин
[23.01.2025 4:45:26] Загружено животных: id 223, species Кролик, breed Гималайский
[23.01.2025 4:45:26] Загружено животных: id 224, species Собака, breed Далматин
[23.01.2025 4:45:26] Загружено животных: id 225, species Хомяк, breed Роборовского
[23.01.2025 4:45:26] Загружено животных: id 226, species Рыбка, breed Сомик
[23.01.2025 4:45:26] Загружено животных: id 227, species Рыбка, breed Гуппи
[23.01.2025 4:45:26] Загружено животных: id 228, species Собака, breed Бульдог
[23.01.2025 4:45:26] Загружено животных: id 229, species Попугай, breed Жако
[23.01.2025 4:45:26] Загружено животных: id 230, species Черепаха, breed Морская
[23.01.2025 4:45:26] Загружено животных: id 231, species Кролик, breed Львиный
[23.01.2025 4:45:26] Загружено животных: id 232, species Собака, breed Далматин
[23.01.2025 4:45:26] Загружено животных: id 233, species Собака, breed Лабрадор
[23.01.2025 4:45:26] Загружено животных: id 234, species Попугай, breed Ара
[23.01.2025 4:45:26] Загружено животных: id 235, species Кролик, breed Львиный
[23.01.2025 4:45:26] Загружено животных: id 236, species Попугай, breed Ара
[23.01.2025 4:45:26] Загружено животных: id 237, species Хомяк, breed Сирийский
[23.01.2025 4:45:26] Загружено животных: id 238, species Хомяк, breed Сирийский
[23.01.2025 4:45:26] Загружено животных: id 239, species Черепаха, breed Боксерская
[23.01.2025 4:45:26] Загружено животных: id 240, species Рыбка, breed Гуппи
[23.01.2025 4:45:26] Загружено животных: id 241, species Собака, breed Далматин
[23.01.2025 4:45:26] Загружено животных: id 242, species Попугай, breed Ара
[23.01.2025 4:45:26] Загружено животных: id 243, species Рыбка, breed Гуппи
[23.01.2025 4:45:26] Загружено животных: id 244, species Черепаха, breed Боксерская
[23.01.2025 4:45:26] Загружено животных: id 245, species Черепаха, breed Боксерская
[23.01.2025 4:45:26] Загружено животных: id 246, species Рыбка, breed Сомик
[23.01.2025 4:45:26] Загружено животных: id 247, species Попугай, breed Ара
[23.01.2025 4:45:26] Загружено животных: id 248, species Кошка, breed Сфинкс
[23.01.2025 4:45:26] Загружено животных: id 249, species Собака, breed Далматин
[23.01.2025 4:45:26] Загружено животных: id 250, species Кошка, breed Британская
[23.01.2025 4:45:26] Загружено животных: id 251, species Рыбка, breed Золотая рыбка
[23.01.2025 4:45:26] Загружено животных: id 252, species Собака, breed Далматин
[23.01.2025 4:45:26] Загружено животных: id 253, species Попугай, breed Ара
[23.01.2025 4:45:26] Загружено животных: id 254, species Кролик, breed Ангорский
[23.01.2025 4:45:26] Загружено животных: id 255, species Кошка, breed Мейн-кун
[23.01.2025 4:45:26] Загружено животных: id 256, species Черепаха, breed Красноухая
[23.01.2025 4:45:26] Загружено животных: id 257, species Хомяк, breed Сирийский
[23.01.2025 4:45:26] Загружено животных: id 258, species Черепаха, breed Боксерская
[23.01.2025 4:45:26] Загружено животных: id 259, species Кролик, breed Шиншилла
[23.01.2025 4:45:26] Загружено животных: id 260, species Кролик, breed Шиншилла
[23.01.2025 4:45:26] Загружено животных: id 261, species Кролик, breed Шиншилла
[23.01.2025 4:45:26] Загружено животных: id 262, species Хомяк, breed Сирийский
[23.01.2025 4:45:26] Загружено животных: id 263, species Рыбка, breed Гуппи
[23.01.2025 4:45:26] Загружено животных: id 264, species Черепаха, breed Морская
[23.01.2025 4:45:26] Загружено животных: id 265, species Собака, breed Шпиц
[23.01.2025 4:45:26] Загружено животных: id 266, species Хомяк, breed Роборовского
[23.01.2025 4:45:26] Загружено животных: id 267, species Черепаха, breed Морская
[23.01.2025 4:45:26] Загружено животных: id 268, species Черепаха, breed Боксерская
[23.01.2025 4:45:26] Загружено животных: id 269, species Хомяк, breed Роборовского
[23.01.2025 4:45:26] Загружено животных: id 270, species Собака, breed Далматин
[23.01.2025 4:45:26] Загружено животных: id 271, species Собака, breed Лабрадор
[23.01.2025 4:45:26] Загружено животных: id 272, species Кролик, breed Гималайский
[23.01.2025 4:45:26] Загружено животных: id 273, species Собака, breed Лабрадор
[23.01.2025 4:45:26] Загружено животных: id 274, species Черепаха, breed Красноухая
[23.01.2025 4:45:26] Загружено животных: id 275, species Хомяк, breed Роборовского
[23.01.2025 4:45:26] Загружено животных: id 276, species Рыбка, breed Сомик
[23.01.2025 4:45:26] Загружено животных: id 277, species Рыбка, breed Золотая рыбка
[23.01.2025 4:45:26] Загружено животных: id 278, species Попугай, breed Корелла
[23.01.2025 4:45:26] Загружено животных: id 279, species Хомяк, breed Роборовского
[23.01.2025 4:45:26] Загружено животных: id 280, species Кошка, breed Сиамская
[23.01.2025 4:45:26] Загружено животных: id 281, species Попугай, breed Жако
[23.01.2025 4:45:26] Загружено животных: id 282, species Хомяк, breed Сирийский
[23.01.2025 4:45:26] Загружено животных: id 283, species Хомяк, breed Роборовского
[23.01.2025 4:45:26] Загружено животных: id 284, species Черепаха, breed Морская
[23.01.2025 4:45:26] Загружено животных: id 285, species Рыбка, breed Гуппи
[23.01.2025 4:45:26] Загружено животных: id 286, species Кролик, breed Львиный
[23.01.2025 4:45:26] Загружено животных: id 287, species Рыбка, breed Гуппи
[23.01.2025 4:45:26] Загружено животных: id 288, species Рыбка, breed Гуппи
[23.01.2025 4:45:26] Загружено животных: id 289, species Собака, breed Бульдог
[23.01.2025 4:45:26] Загружено животных: id 290, species Собака, breed Бульдог
[23.01.2025 4:45:26] Загружено животных: id 291, species Собака, breed Шпиц
[23.01.2025 4:45:26] Загружено животных: id 292, species Черепаха, breed Морская
[23.01.2025 4:45:26] Загружено животных: id 293, species Рыбка, breed Неон
[23.01.2025 4:45:26] Загружено животных: id 294, species Попугай, breed Ара
[23.01.2025 4:45:26] Загружено животных: id 295, species Собака, breed Бульдог
[23.01.2025 4:45:26] Загружено животных: id 296, species Хомяк, breed Джунгарский
[23.01.2025 4:45:26] Загружено животных: id 297, species Кролик, breed Львиный
[23.01.2025 4:45:26] Загружено животных: id 298, species Кролик, breed Шиншилла
[23.01.2025 4:45:26] Загружено животных: id 299, species Кошка, breed Сфинкс
[23.01.2025 4:45:26] Загружено животных: id 300, species Кошка, breed Мейн-кун
[23.01.2025 4:45:26] Добавлены покупатели: id 1, name John Smith, age 54, address Челябинск
[23.01.2025 4:45:26] Добавлены покупатели: id 2, name Thomas Lewis, age 69, address Петрозаводск
[23.01.2025 4:45:26] Добавлены покупатели: id 3, name Paul Marquez, age 38, address Таганрог
[23.01.2025 4:45:26] Добавлены покупатели: id 4, name Lisa Thompson, age 29, address Екатеринбург
[23.01.2025 4:45:26] Добавлены покупатели: id 5, name Dana Valdez, age 27, address Нижневартовск
[23.01.2025 4:45:26] Добавлены покупатели: id 6, name Amanda Mclaughlin, age 35, address Волжский
[23.01.2025 4:45:26] Добавлены покупатели: id 7, name Steven Wheeler, age 26, address Армавир
[23.01.2025 4:45:26] Добавлены покупатели: id 8, name Nancy Alvarez, age 39, address Тюмень
[23.01.2025 4:45:26] Добавлены покупатели: id 9, name Larry Kim, age 59, address Владимир
[23.01.2025 4:45:26] Добавлены покупатели: id 10, name Shawn Duncan, age 68, address Казань
[23.01.2025 4:45:26] Добавлены покупатели: id 11, name Christopher Bell, age 56, address Норильск
[23.01.2025 4:45:26] Добавлены покупатели: id 12, name Kathryn Petty, age 45, address Тольятти
[23.01.2025 4:45:26] Добавлены покупатели: id 13, name Andrew Obrien, age 32, address Владимир
[23.01.2025 4:45:26] Добавлены покупатели: id 14, name Mike Fowler, age 32, address Северодвинск
[23.01.2025 4:45:26] Добавлены покупатели: id 15, name Lisa Bell, age 36, address Барнаул
[23.01.2025 4:45:26] Добавлены покупатели: id 16, name Joseph Dixon, age 33, address Шахты
[23.01.2025 4:45:26] Добавлены покупатели: id 17, name Christopher Gomez, age 55, address Иркутск
[23.01.2025 4:45:26] Добавлены покупатели: id 18, name Justin Mitchell, age 27, address Киров
[23.01.2025 4:45:26] Добавлены покупатели: id 19, name Corey Campbell, age 30, address Старый Оскол
[23.01.2025 4:45:26] Добавлены покупатели: id 20, name Derek Coleman, age 50, address Нижний Тагил
[23.01.2025 4:45:26] Добавлены покупатели: id 21, name Beverly Sanchez, age 55, address Кемерово
[23.01.2025 4:45:26] Добавлены покупатели: id 22, name Robert Malone, age 38, address Уфа
[23.01.2025 4:45:26] Добавлены покупатели: id 23, name Mrs. Sherry Turner, age 42, address Барнаул
[23.01.2025 4:45:26] Добавлены покупатели: id 24, name Amber Mitchell, age 61, address Каменск-Уральский
[23.01.2025 4:45:26] Добавлены покупатели: id 25, name Samantha Warner, age 56, address Армавир
[23.01.2025 4:45:26] Добавлены покупатели: id 26, name Gary Yates, age 18, address Хабаровск
[23.01.2025 4:45:26] Добавлены покупатели: id 27, name Matthew Ford, age 55, address Новороссийск
[23.01.2025 4:45:26] Добавлены покупатели: id 28, name Joshua Warren, age 35, address Новосибирск
[23.01.2025 4:45:26] Добавлены покупатели: id 29, name John Maldonado, age 66, address Бийск
[23.01.2025 4:45:26] Добавлены покупатели: id 30, name Stacy Montgomery, age 35, address Владимир
[23.01.2025 4:45:26] Добавлены покупатели: id 31, name Donald Martin, age 40, address Северодвинск
[23.01.2025 4:45:26] Добавлены покупатели: id 32, name Kristin Brown, age 34, address Оренбург
[23.01.2025 4:45:26] Добавлены покупатели: id 33, name Chelsea Carr, age 55, address Петрозаводск
[23.01.2025 4:45:26] Добавлены покупатели: id 34, name Andrew Waller, age 65, address Курган
[23.01.2025 4:45:26] Добавлены покупатели: id 35, name Gregory Coffey, age 50, address Сыктывкар
[23.01.2025 4:45:26] Добавлены покупатели: id 36, name Tyler Walsh, age 62, address Череповец
[23.01.2025 4:45:26] Добавлены покупатели: id 37, name Lawrence Shaffer, age 19, address Омск
[23.01.2025 4:45:26] Добавлены покупатели: id 38, name Jessica Rodriguez, age 49, address Нижний Новгород
[23.01.2025 4:45:26] Добавлены покупатели: id 39, name Timothy Schneider, age 29, address Брянск
[23.01.2025 4:45:26] Добавлены покупатели: id 40, name Colleen Petersen DVM, age 63, address Псков
[23.01.2025 4:45:26] Добавлены покупатели: id 41, name Mr. Bradley Robinson MD, age 47, address Нижневартовск
[23.01.2025 4:45:26] Добавлены покупатели: id 42, name Jimmy Morgan, age 63, address Курган
